customer_id,customer_email,customer_name,segment,country,city,state,postal_code,region
AA-10375,stern@verizon.net,Allen Armold,Consumer,United States,Mesa,Arizona,85204,West
AA-10480,bancboy@icloud.com,Andrew Allen,Consumer,United States,Concord,North Carolina,28027,South
AB-10060,dmouse@outlook.com,Adam Bellavance,Home Office,United States,New York City,New York,10009,East
AB-10165,atmarks@live.com,Alan Barnes,Consumer,United States,Los Angeles,California,90036,West
AC-10420,cvrcek@me.com,Alyssa Crouse,Corporate,United States,San Francisco,California,94122,West
AD-10180,dcoppit@gmail.com,Alan Dominguez,Home Office,United States,Great Falls,Montana,59405,West
AF-10885,louise@msn.com,Art Foster,Consumer,United States,Louisville,Kentucky,40214,South
AG-10495,dinther@outlook.com,Andrew Gjertsen,Corporate,United States,Philadelphia,Pennsylvania,19140,East
AG-10525,stern@verizon.net,Andy Gerbode,Corporate,United States,Saint Petersburg,Florida,33710,South
AG-10675,benits@msn.com,Anna Gayman,Consumer,United States,Houston,Texas,77036,Central
AG-10765,evans@me.com,Anthony Garverick,Home Office,United States,Philadelphia,Pennsylvania,19120,East
AG-10900,benits@msn.com,Arthur Gainer,Consumer,United States,Tucson,Arizona,85705,West
AH-10195,bsikdar@msn.com,Alan Haines,Corporate,United States,Tamarac,Florida,33319,South
AH-10210,shaffei@sbcglobal.net,Alan Hwang,Consumer,United States,Brentwood,Florida,94513,West
AJ-10780,pgolle@mac.com,Anthony Jacobs,Corporate,United States,Springfield,Virginia,22153,South
AJ-10795,msroth@me.com,Anthony Johnson,Corporate,United States,Saint Petersburg,Florida,33710,South
AJ-10945,world@att.net,Ashley Jarboe,Consumer,United States,Wilmington,North Carolina,28403,South
AJ-10960,stern@verizon.net,Astrea Jones,Consumer,United States,Rochester,New York,14609,East
AM-10360,louise@msn.com,Alice McCarthy,Corporate,United States,Grand Prairie,Texas,75051,Central
AP-10915,comdig@yahoo.com,Arthur Prichep,Consumer,United States,Palm Coast,Florida,32137,South
AR-10405,dbindel@gmail.com,Allen Rosenblatt,Corporate,United States,Franklin,Massachusetts,2038,East
AR-10510,horrocks@verizon.net,Andrew Roberts,Consumer,United States,Los Angeles,California,90004,West
AR-10825,shaffei@sbcglobal.net,Anthony Rawles,Corporate,United States,Vancouver,Washington,98661,West
AS-10135,bancboy@icloud.com,Adrian Shami,Home Office,United States,New York City,New York,10035,East
AS-10225,msroth@me.com,Alan Schoenberger,Corporate,United States,New York City,New York,10024,East
AS-10240,duncand@mac.com,Alan Shonely,Consumer,United States,Tampa,Florida,33614,South
AS-10285,wildfire@yahoo.com,Alejandro Savely,Corporate,United States,San Francisco,Florida,94109,West
AT-10735,mastinfo@msn.com,Annie Thurman,Consumer,United States,Seattle,Washington,98115,West
BB-10990,dmouse@outlook.com,Barry Blumstein,Corporate,United States,Sierra Vista,Arizona,85635,West
BB-11545,dcoppit@gmail.com,Brenda Bowman,Corporate,United States,Houston,Texas,77070,Central
BD-11320,dinther@outlook.com,Bill Donatelli,Consumer,United States,San Francisco,California,94110,West
BD-11500,shaffei@sbcglobal.net,Bradley Drucker,Consumer,United States,Green Bay,Wisconsin,54302,Central
BD-11605,dmouse@outlook.com,Brian Dahlen,Consumer,United States,Miami,Florida,33180,South
BD-11725,gordonjcp@comcast.net,Bruce Degenhardt,Consumer,United States,Richmond,Kentucky,40475,South
BE-11335,dawnsong@hotmail.com,Bill Eplett,Home Office,United States,Jackson,Michigan,49201,Central
BF-11020,tangsh@mac.com,Barry Französisch,Corporate,United States,Green Bay,Wisconsin,54302,Central
BH-11710,mastinfo@msn.com,Brosina Hoffman,Consumer,United States,Los Angeles,California,90032,West
BK-11260,specprog@icloud.com,Berenike Kampe,Consumer,United States,New York City,New York,10035,East
BM-11140,ylchang@att.net,Becky Martin,Consumer,United States,San Antonio,Texas,78207,Central
BM-11650,atmarks@live.com,Brian Moss,Corporate,United States,New York City,New York,10035,East
BM-11785,mastinfo@msn.com,Bryan Mills,Consumer,United States,Columbus,Ohio,43229,East
BN-11470,mastinfo@msn.com,Brad Norvell,Corporate,United States,Cary,North Carolina,27511,South
BN-11515,ylchang@att.net,Bradley Nguyen,Consumer,United States,Los Angeles,North Carolina,90049,West
BP-11095,benits@msn.com,Bart Pistole,Corporate,United States,Peoria,Illinois,61604,Central
BP-11185,bancboy@icloud.com,Ben Peterman,Corporate,United States,Arvada,Colorado,80004,West
BS-11590,dbindel@gmail.com,Brendan Sweed,Corporate,United States,Gilbert,Arizona,85234,West
BS-11755,evans@me.com,Bruce Stewart,Consumer,United States,Denver,Colorado,80219,West
